n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
0,(none),idle,idle,idle,682,682,682,0,,yes
1,CRUISE  −  BIG,CRUISE  −  BIG,idle,idle,58,682,682,0,,yes
1,CRUISE  −  SMALL,CRUISE  −  SMALL,idle,idle,133,682,682,0,,yes
1,CRUISE  +  BIG,CRUISE  +  BIG,idle,idle,217,682,682,0,,yes
1,CRUISE  +  SMALL,CRUISE  +  SMALL,idle,idle,350,682,682,0,,yes
1,CRUISE  CANCEL,idle,CRUISE  CANCEL,idle,682,58,682,0,,yes
1,FOLLOW DIST  +,idle,FOLLOW DIST  +,idle,682,133,682,0,,yes
1,CRUISE  RESUME,idle,CRUISE  RESUME,idle,682,217,682,0,,yes
1,FOLLOW DIST  −,idle,FOLLOW DIST  −,idle,682,350,682,0,,yes
1,DOWNHILL  CANCEL,idle,idle,DOWNHILL  CANCEL,682,682,58,0,,yes
1,DOWNHILL  −,idle,idle,DOWNHILL  −,682,682,133,0,,yes
1,DOWNHILL  RESUME,idle,idle,DOWNHILL  RESUME,682,682,217,0,,yes
1,DOWNHILL  +,idle,idle,DOWNHILL  +,682,682,350,0,,yes
2,CRUISE  −  BIG + CRUISE  −  SMALL,CRUISE  −  BIG,idle,idle,58,682,682,1,CRUISE  −  SMALL,no
2,CRUISE  −  BIG + CRUISE  +  BIG,CRUISE  −  BIG,idle,idle,58,682,682,1,CRUISE  +  BIG,no
2,CRUISE  −  BIG + CRUISE  +  SMALL,CRUISE  −  BIG,idle,idle,58,682,682,1,CRUISE  +  SMALL,no
2,CRUISE  −  BIG + CRUISE  CANCEL,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,0,,yes
2,CRUISE  −  BIG + FOLLOW DIST  +,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,0,,yes
2,CRUISE  −  BIG + CRUISE  RESUME,CRUISE  −  BIG,CRUISE  RESUME,idle,58,217,682,0,,yes
2,CRUISE  −  BIG + FOLLOW DIST  −,CRUISE  −  BIG,FOLLOW DIST  −,idle,58,350,682,0,,yes
2,CRUISE  −  BIG + DOWNHILL  CANCEL,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,0,,yes
2,CRUISE  −  BIG + DOWNHILL  −,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,0,,yes
2,CRUISE  −  BIG + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  RESUME,58,682,217,0,,yes
2,CRUISE  −  BIG + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  +,58,682,350,0,,yes
2,CRUISE  −  SMALL + CRUISE  +  BIG,CRUISE  −  SMALL,idle,idle,133,682,682,1,CRUISE  +  BIG,no
2,CRUISE  −  SMALL + CRUISE  +  SMALL,CRUISE  −  SMALL,idle,idle,133,682,682,1,CRUISE  +  SMALL,no
2,CRUISE  −  SMALL + CRUISE  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,0,,yes
2,CRUISE  −  SMALL + FOLLOW DIST  +,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,0,,yes
2,CRUISE  −  SMALL + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,idle,133,217,682,0,,yes
2,CRUISE  −  SMALL + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  −,idle,133,350,682,0,,yes
2,CRUISE  −  SMALL + DOWNHILL  CANCEL,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,0,,yes
2,CRUISE  −  SMALL + DOWNHILL  −,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,0,,yes
2,CRUISE  −  SMALL + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  RESUME,133,682,217,0,,yes
2,CRUISE  −  SMALL + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  +,133,682,350,0,,yes
2,CRUISE  +  BIG + CRUISE  +  SMALL,CRUISE  +  BIG,idle,idle,217,682,682,1,CRUISE  +  SMALL,no
2,CRUISE  +  BIG + CRUISE  CANCEL,CRUISE  +  BIG,CRUISE  CANCEL,idle,217,58,682,0,,yes
2,CRUISE  +  BIG + FOLLOW DIST  +,CRUISE  +  BIG,FOLLOW DIST  +,idle,217,133,682,0,,yes
2,CRUISE  +  BIG + CRUISE  RESUME,CRUISE  +  BIG,CRUISE  RESUME,idle,217,217,682,0,,yes
2,CRUISE  +  BIG + FOLLOW DIST  −,CRUISE  +  BIG,FOLLOW DIST  −,idle,217,350,682,0,,yes
2,CRUISE  +  BIG + DOWNHILL  CANCEL,CRUISE  +  BIG,idle,DOWNHILL  CANCEL,217,682,58,0,,yes
2,CRUISE  +  BIG + DOWNHILL  −,CRUISE  +  BIG,idle,DOWNHILL  −,217,682,133,0,,yes
2,CRUISE  +  BIG + DOWNHILL  RESUME,CRUISE  +  BIG,idle,DOWNHILL  RESUME,217,682,217,0,,yes
2,CRUISE  +  BIG + DOWNHILL  +,CRUISE  +  BIG,idle,DOWNHILL  +,217,682,350,0,,yes
2,CRUISE  +  SMALL + CRUISE  CANCEL,CRUISE  +  SMALL,CRUISE  CANCEL,idle,350,58,682,0,,yes
2,CRUISE  +  SMALL + FOLLOW DIST  +,CRUISE  +  SMALL,FOLLOW DIST  +,idle,350,133,682,0,,yes
2,CRUISE  +  SMALL + CRUISE  RESUME,CRUISE  +  SMALL,CRUISE  RESUME,idle,350,217,682,0,,yes
2,CRUISE  +  SMALL + FOLLOW DIST  −,CRUISE  +  SMALL,FOLLOW DIST  −,idle,350,350,682,0,,yes
2,CRUISE  +  SMALL + DOWNHILL  CANCEL,CRUISE  +  SMALL,idle,DOWNHILL  CANCEL,350,682,58,0,,yes
2,CRUISE  +  SMALL + DOWNHILL  −,CRUISE  +  SMALL,idle,DOWNHILL  −,350,682,133,0,,yes
2,CRUISE  +  SMALL + DOWNHILL  RESUME,CRUISE  +  SMALL,idle,DOWNHILL  RESUME,350,682,217,0,,yes
2,CRUISE  +  SMALL + DOWNHILL  +,CRUISE  +  SMALL,idle,DOWNHILL  +,350,682,350,0,,yes
2,CRUISE  CANCEL + FOLLOW DIST  +,idle,CRUISE  CANCEL,idle,682,58,682,1,FOLLOW DIST  +,no
2,CRUISE  CANCEL + CRUISE  RESUME,idle,CRUISE  CANCEL,idle,682,58,682,1,CRUISE  RESUME,no
2,CRUISE  CANCEL + FOLLOW DIST  −,idle,CRUISE  CANCEL,idle,682,58,682,1,FOLLOW DIST  −,no
2,CRUISE  CANCEL + DOWNHILL  CANCEL,idle,CRUISE  CANCEL,DOWNHILL  CANCEL,682,58,58,0,,yes
2,CRUISE  CANCEL + DOWNHILL  −,idle,CRUISE  CANCEL,DOWNHILL  −,682,58,133,0,,yes
2,CRUISE  CANCEL + DOWNHILL  RESUME,idle,CRUISE  CANCEL,DOWNHILL  RESUME,682,58,217,0,,yes
2,CRUISE  CANCEL + DOWNHILL  +,idle,CRUISE  CANCEL,DOWNHILL  +,682,58,350,0,,yes
2,FOLLOW DIST  + + CRUISE  RESUME,idle,FOLLOW DIST  +,idle,682,133,682,1,CRUISE  RESUME,no
2,FOLLOW DIST  + + FOLLOW DIST  −,idle,FOLLOW DIST  +,idle,682,133,682,1,FOLLOW DIST  −,no
